<UNK> 1.0	sil
ಸ್ವತಂತ್ರ 1.0	s eu w t q t eu r 
ಸರಕಾರವನ್ನು 1.0	s r k aa r w n eu n u 
ರಚಿಸಲಾಯಿತು 1.0	r c i s l aa y i t u 
ಬಡ್ಡಿ 1.0	b dx eu dx i 
ಸಂದರ್ಭಾನುಸಾರವಾಗಿ 1.0	s q d r eu bh aa n u s aa r w aa g i 
ಪ್ರಕಟಣೆಗಳು 1.0	p eu r k tx nx e g lx u 
ಅಧ್ಯಯನಗಳು 1.0	a dh eu y y n g lx u 
ಹಣಕಾಸಿನ 1.0	h nx k aa s i n 
ಜ್ಞಾನಭಂಡಾರಕ್ಕೆ 1.0	j eu nj aa n bh q dx aa r k eu k e 
ಕೊಡುಗೆಗಳು 1.0	k o dx u g e g lx u 
ಪ್ರೇರಣೆಯಿಂದ 1.0	p eu r ee r nx e y i q d 
ನಿಬಂಧನೆಗಳಿಗನುಸಾರವಾಗಿ 1.0	n i b q dh n e g lx i g n u s aa r w aa g i 
ಸ್ಥಾಪಿಸಲ್ಪಟ್ಟವು 1.0	s eu th aa p i s l eu p tx eu tx w u 
ಅಪಾಯವನ್ನು 1.0	a p aa y w n eu n u 
ತಗ್ಗಿಸಲಾಗಿದೆ 1.0	t g eu g i s l aa g i d e 
ವಾಹನದ 1.0	w aa h n d 
ಘಟಕಗಳಿಗೆ 1.0	gh tx k g lx i g e 
ಬಳಸಲಾದ 1.0	b lx s l aa d 
ರಾಚನಿಕ 1.0	r aa c n i k 
ತೂಕಗಳನ್ನು 1.0	t uu k g lx n eu n u 
ಒಳಗೊಂಡಂತೆ 1.0	o lx g o q dx q t e 
ಒತ್ತಡ 1.0	o t eu t dx 
ಹೆಚ್ಚುತ್ತದೆ 1.0	h e c eu c u t eu t d e 
ಮಾನವತಳಿಶಾಸ್ತ್ರ 1.0	m aa n w t lx i sh aa s eu t eu r 
ಈಪಾಕ್ಸಿ 1.0	ii p aa k eu s i 
ಅಂಟುಗಳು 1.0	a q tx u g lx u 
ನಿಧಾನವಾಗಿಯೂ 1.0	n i dh aa n w aa g i y uu 
ಕಾಯಿಸಿದರೆ 1.0	k aa y i s i d r e 
ತುಂಬ 1.0	t u q b 
ಶೀಘ್ರವಾಗಿಯೂ 1.0	sh ii gh eu r w aa g i y uu 
ಹಿಡಿಯುವುವು 1.0	h i dx i y u w u w u 
ಸಹಜ 1.0	s h j 
ಬೆಳವಣಿಗೆಯ 1.0	b e lx w nx i g e y 
ಭಾಗವಾಗಿರುತ್ತದೆ 1.0	bh aa g w aa g i r u t eu t d e 
ವರ್ಲ್ಡ್ 1.0	w r eu l eu dx eu 
ಚ್ಯಾಂಪಿಯನ್‌ಶಿಫ್ಸ್‌ 1.0	c eu y aa q p i y n eu sh i txh s eu 
ಅಥ್ಲೆಟಿಕ್ಸ್‌ನಲ್ಲಿ 1.0	a th eu l e tx i k eu s eu n l eu l i 
ಪದಕ 1.0	p d k 
ವಿಜೇತ 1.0	w i j ee t 
ಭಾರತೀಯರು 1.0	bh aa r t ii y r u 
ಹೆಗ್ಗಳಿಕೆಗೆ 1.0	h e g eu g lx i k e g e 
ಪಾತ್ರರಾದರು 1.0	p aa t eu r r aa d r u 
ಅಂಗುಳದ 1.0	a q g u lx d 
ಮುಂಭಾಗ 1.0	m u q bh aa g 
ಎಲುಬಿನಿಂದಾದುದರಿಂದ 1.0	e l u b i n i q d aa d u d r i q d 
ಗಡುಸಾಗಿದೆ 1.0	g dx u s aa g i d e 
ವರ್ಣಚಿತ್ರದ 1.0	w r eu nx c i t eu r d 
ಕಾರ್ಯಗಳು 1.0	k aa r eu y g lx u 
ಅಂಟು 1.0	a q tx u 
ಚಿತ್ರಣವೇ 1.0	c i t eu r nx w ee 
ಅಲ್ಲವೇ 1.0	a l eu l w ee 
ಪ್ರಶ್ನೆಯನ್ನು 1.0	p eu r sh eu n e y n eu n u 
ಹುಟ್ಟು 1.0	h u tx eu tx u 
ಹಾಕುತ್ತದೆ 1.0	h aa k u t eu t d e 
ಪೋಷಕಗಳನ್ನು 1.0	p ii k g lx n eu n u 
ಧಾರಾಳವಾಗಿ 1.0	dh aa r aa lx w aa g i 
ಹೀರಿಕೊಳ್ಳುವುದರಿಂದ 1.0	h ii r i k o lx eu lx u w u d r i q d 
ಸಸ್ಯದ 1.0	s s eu y d 
ಭಾಗಗಳಲ್ಲಿ 1.0	bh aa g g lx l eu l i 
ಪೋಷಕಗಳ 1.0	p ii k g lx 
ಸಾಕಷ್ಟು 1.0	s aa k sx eu tx u 
ಮಟ್ಟದಲ್ಲಿ 1.0	m tx eu tx d l eu l i 
ಇರುವುದು 1.0	i r u w u d u 
ಕಾರ್ಯವಿಧಾನವನ್ನು 1.0	k aa r eu y w i dh aa n w n eu n u 
ನಡೆಸಲು 1.0	n dx e s l u 
ಸ್ವಿಟ್ಜರ್ಲೆಂಡಿನ 1.0	s eu w i tx eu j r eu l e q dx i n 
ಬಾಸೆಲ್ 1.0	b aa s e l eu 
ಎಂಬಲ್ಲಿ 1.0	e q b l eu l i 
ತೀರುವೆ 1.0	t ii r u w e 
ಬ್ಯಾಂಕ್ 1.0	b eu y aa q k eu 
ಸ್ಥಾಪನೆಯಾಯಿತು 1.0	s eu th aa p n e y aa y i t u 
ಮರುಪೂರಣೆ 1.0	m r u p uu r nx e 
ಸಮರ್ಪಕವಾಗಿ 1.0	s m r eu p k w aa g i 
ಆಗುತ್ತಿಲ್ಲ 1.0	aa g u t eu t i l eu l 
ಬಣ್ಣ 1.0	b nx eu nx 
ಗಾತ್ರದಲ್ಲಿ 1.0	g aa t eu r d l eu l i 
ವ್ಯತ್ಯಾಸ 1.0	w eu y t eu y aa s 
ಉಂಟು 1.0	u q tx u 
ಅಂಗಾಂಶಗಳ 1.0	a q g aa q sh g lx 
ರಚನೆಗೆ 1.0	r c n e g e 
ವೇದಿಕೆಯಾಗಿ 1.0	w ee d i k e y aa g i 
ಕಾರ್ಯನಿರ್ವಹಿಸುವ 1.0	k aa r eu y n i r eu w h i s u w 
ರಂಧ್ರಯುಕ್ತವಾದ 1.0	r q dh eu r y u k eu t w aa d 
ಆಕೃತಿಗಳನ್ನು 1.0	aa k rq t i g lx n eu n u 
ತಯಾರಿಸುವ 1.0	t y aa r i s u w 
ಹಲವು 1.0	h l w u 
ಸಾಹಿತ್ಯದಲ್ಲಿ 1.0	s aa h i t eu y d l eu l i 
ವರ್ಣಿಸಲಾಗಿದೆ 1.0	w r eu nx i s l aa g i d e 
ಸರಿಯಾದ 1.0	s r i y aa d 
ಆಗ 1.0	aa g 
ಸೀಳು 1.0	s ii lx u 
ಉಂಟಾಗುತ್ತದೆ 1.0	u q tx aa g u t eu t d e 
ಕಾಯಂ 1.0	k aa y q 
ಸಿಬ್ಬಂದಿಯ 1.0	s i b eu b q d i y 
ಉಪಸ್ಥಿತಿಯು 1.0	u p s eu th i t i y u 
ಗಗನಯಾತ್ರೆಗಳನ್ನು 1.0	g g n y aa t eu r e g lx n eu n u 
ಆರುತಿಂಗಳ 1.0	aa r u t i q g lx 
ಕಾಲಾವಧಿಯವರೆಗೆ 1.0	k aa l aa w dh i y w r e g e 
ಕೈಗೊಳ್ಳಲಾಗುತ್ತದೆ 1.0	k ai g o lx eu lx l aa g u t eu t d e 
ಭಂಡಾರವೂ 1.0	bh q dx aa r w uu 
ಮಾಲಿನ್ಯದಿಂದ 1.0	m aa l i n eu y d i q d 
ಮುಕ್ತವಾಗಿಲ್ಲ 1.0	m u k eu t w aa g i l eu l 
ಪ್ರದರ್ಶನಗಳಿಂದ 1.0	p eu r d r eu sh n g lx i q d 
ಆರಂಭವಾದ 1.0	aa r q bh w aa d 
ಸಹಕಾರದ 1.0	s h k aa r d 
ಕಲ್ಪನೆ 1.0	k l eu p n e 
ಕ್ರಮವಾಗಿ 1.0	k eu r m w aa g i 
ಬೆಳೆದಿದೆ 1.0	b e lx e d i d e 
ಚಟುವಟಿಕೆಗಳ 1.0	c tx u w tx i k e g lx 
ನಾನಾ 1.0	n aa n aa 
ಕ್ಷೇತ್ರಗಳಲ್ಲಿ 1.0	k eu sx ee t eu r g lx l eu l i 
ಪ್ರತ್ಯೇಕ 1.0	p eu r t eu y ee k 
ಸಂಘಗಳ 1.0	s q gh g lx 
ರೂಪದಲ್ಲಿ 1.0	r uu p d l eu l i 
ಸ್ಪಷ್ಟವಾಗಿದೆ 1.0	s eu p sx eu tx w aa g i d e 
ಗೋಚರಿಸುವ 1.0	g ii r i s u w 
ನೀರುಗುರುತು 1.0	n ii r u g u r u t u 
ಮಾಡುವಿಕೆಯಲ್ಲಿ 1.0	m aa dx u w i k e y l eu l i 
ಬಲು 1.0	b l u 
ಅಪರೂಪವಾದರೂ 1.0	a p r uu p w aa d r uu 
ಮಾರಕ 1.0	m aa r k 
ರೋಗ 1.0	r ii 
ಹೆಸರಿನ 1.0	h e s r i n 
ಚಲನಚಿತ್ರದ 1.0	c l n c i t eu r d 
ಬಗೆಗಿನ 1.0	b g e g i n 
ಮಾಹಿತಿಗೆ 1.0	m aa h i t i g e 
ಪುಟವನ್ನು 1.0	p u tx w n eu n u 
ಕಾಲದೇಶಗಳಿಗೆ 1.0	k aa l d ee sh g lx i g e 
ನಮ್ಮ 1.0	n m eu m 
ಜ್ಞಾನ 1.0	j eu nj aa n 
ಪುರ್ವಾನುಭವದಿಂದಲೂ 1.0	p u r eu w aa n u bh w d i q d l uu 
ಮುಕ್ತವಾದುದು 1.0	m u k eu t w aa d u d u 
ಎರಡೂ 1.0	e r dx uu 
ಕ್ಯಾಮರಾಗಳು 1.0	k eu y aa m r aa g lx u 
ತೆಗೆದುಹಾಕಲಾಗದ 1.0	t e g e d u h aa k l aa g d 
ಲಕ್ಷಣಗಳನ್ನು 1.0	l k eu sx nx g lx n eu n u 
ಚಿತ್ರಗಳಿಗೆ 1.0	c i t eu r g lx i g e 
ಸೇರಿಸಿದವು 1.0	s ee r i s i d w u 
ಬೌದ್ಧ 1.0	b au d eu dh 
ಯಾವುದು 1.0	y aa w u d u 
ಮನೆಗಳು 1.0	m n e g lx u 
ವಿಭಿನ್ನವಾಗಿ 1.0	w i bh i n eu n w aa g i 
ಅಷ್ಟು 1.0	a sx eu tx u 
ಆಕರ್ಷಣೀಯವಾಗಿ 1.0	aa k r eu sx nx ii y w aa g i 
ಕಾಣುವಂತೆ 1.0	k aa nx u w q t e 
ಮಾಡುತ್ತವೆ 1.0	m aa dx u t eu t w e 
ಸರಕುಸೇವೆಗಳ 1.0	s r k u s ee w e g lx 
ಮುನ್ನೂರು 1.0	m u n eu n uu r u 
ಪಿ 1.0	p i 
ಸಿ 1.0	s i 
ಹೆಲ್ಮ್ 1.0	h e l eu m eu 
ವರ್ಷ 1.0	w r eu sx 
ಸಾವಿರ 1.0	s aa w i r 
ರ 1.0	r 
ಪ್ರಕಟಿಸುವಿಕೆಯನ್ನು 1.0	p eu r k tx i s u w i k e y n eu n u 
ಏನಾದರಾಗಲಿ 1.0	ee n aa d r aa g l i 
ಅಂಟುಶಕ್ತಿಯ 1.0	a q tx u sh k eu t i y 
ಸ್ಪಷ್ಟ 1.0	s eu p sx eu tx 
ಪರಿಚಯ 1.0	p r i c y 
ಅಷ್ಟಾಗಿ 1.0	a sx eu tx aa g i 
ಇಲ್ಲ 1.0	i l eu l 
ನೇರವಾಗಿ 1.0	n ee r w aa g i 
ಮುಂದುವರಿ 1.0	m u q d u w r i 
ಸೌಂದರ್ಯ 1.0	s au q d r eu y 
ಮೀಮಾಂಸೆಯಲ್ಲಿ 1.0	m ii m aa q s e y l eu l i 
ಅಂತರ್ಬೋಧೆಯನ್ನು 1.0	a q t r eu b ii e y n eu n u 
ಪ್ರತಿಭೆ 1.0	p eu r t i bh e 
ಕರೆಯುತ್ತಾರೆ 1.0	k r e y u t eu t aa r e 
ಪರಿಣಾಮದ 1.0	p r i nx aa m d 
ಮಾನದಂಡಗಳ 1.0	m aa n d q dx g lx 
ಆಧರಿತ 1.0	aa dh r i t 
ಪಟ್ಟಿ 1.0	p tx eu tx i 
ಮೂತ್ರಸ್ರಾವಕ್ಕೆ 1.0	m uu t eu r s eu r aa w k eu k e 
ಉತ್ತೇಜನಕಾರಿ 1.0	u t eu t ee j n k aa r i 
ಚಿತ್ರಣವು 1.0	c i t eu r nx w u 
ಗುರುತಿಸಲ್ಪಡುವ 1.0	g u r u t i s l eu p dx u w 
ಪ್ರಾಮುಖ್ಯತೆಗಳನ್ನು 1.0	p eu r aa m u kh eu y t e g lx n eu n u 
ಒಟ್ಟಿಗೆ 1.0	o tx eu tx i g e 
ಕಲೆಹಾಕಲಾಗುವುದು 1.0	k l e h aa k l aa g u w u d u 
ಹೊಯ್ಸಳರ 1.0	h o y eu s lx r 
ಕುಲದೇವತೆಯಾದ 1.0	k u l d ee w t e y aa d 
ವಾಸಂತಿಕಾ 1.0	w aa s q t i k aa 
ದೇವಿಯೇ 1.0	d ee w i y ee 
ಇಲ್ಲಿನ 1.0	i l eu l i n 
ದೇವತೆಯಾದ 1.0	d ee w t e y aa d 
ವಸಂತಮ್ಮ 1.0	w s q t m eu m 
ಹೇಳಲಾಗಿದೆ 1.0	h ee lx l aa g i d e 
ಎತ್ತರದಿಂದ 1.0	e t eu t r d i q d 
ಕಡಿದಾದ 1.0	k dx i d aa d 
ಇಳಿಯುವ 1.0	i lx i y u w 
ಹಿಮದ 1.0	h i m d 
ಹಾಳೆಗಳು 1.0	h aa lx e g lx u 
ದೊಡ್ಡ 1.0	d o dx eu dx 
ಹಿಮನದಿಗಳಿಗೆ 1.0	h i m n d i g lx i g e 
ಎಡೆಮಾಡಿಕೊಟ್ಟಿವೆ 1.0	e dx e m aa dx i k o tx eu tx i w e 
ಹಾಗೆಯೇ 1.0	h aa g e y ee 
ಒಬ್ಬ 1.0	o b eu b 
ನರನ 1.0	n r n 
ಓಡಾಟ 1.0	oo dx aa tx 
ಇಡೀ 1.0	i dx ii 
ಗಡಿಬಿಡಿಗೆ 1.0	g dx i b i dx i g e 
ಸಾಕ್ಷ್ಯವಾಗಬಹುದು 1.0	s aa k eu sx eu y w aa g b h u d u 
ಆಕಾಶಕಾಯಗಳ 1.0	aa k aa sh k aa y g lx 
ಋಣಾತ್ಮಕ 1.0	aa t eu m k 
ಕಾಯಗಳ 1.0	k aa y g lx 
ಅಂತರಗಳನ್ನು 1.0	a q t r g lx n eu n u 
ಹೆಚ್ಚಿಸುತ್ತವೆ 1.0	h e c eu c i s u t eu t w e 
ತಳಭಾಗದಲ್ಲಿ 1.0	t lx bh aa g d l eu l i 
ರೋಮಗಳಿವೆ 1.0	r ii g lx i w e 
ಮುಂಚೆ 1.0	m u q c e 
ಪೋರ್ಚುಗಲ್ನ 1.0	p ii eu c u g l eu n 
ವಸಾಹತು 1.0	w s aa h t u 
ಆಗಿದ್ದ 1.0	aa g i d eu d 
ಹೇರಳವಾಗಿ 1.0	h ee r lx w aa g i 
ಎಣ್ಣೆ 1.0	e nx eu nx e 
ದೊರೆಯುತ್ತಿತ್ತು 1.0	d o r e y u t eu t i t eu t u 
ಇಲ್ಲಿರುವ 1.0	i l eu l i r u w 
ಭಾವಿಗಳಿಂದಲೂ 1.0	bh aa w i g lx i q d l uu 
ವ್ಯವಸಾಯಕ್ಕೆ 1.0	w eu y w s aa y k eu k e 
ಒದಗುತ್ತದೆ 1.0	o d g u t eu t d e 
ಇವುಗಳಲೆಲ್ಲ 1.0	i w u g lx l e l eu l 
ಅಡ್ವಾನ್ಸ್ಡ್ 1.0	a dx eu w aa n eu s eu dx eu 
ಡಯಗ್ನಾಸ್ಟಿಕ್ 1.0	dx y g eu n aa s eu tx i k eu 
ಅಲ್ಟ್ರಾಸೌಂಡ್ 1.0	a l eu tx eu r aa s au q dx eu 
ಮೈಕ್ರೋಗ್ರಾವಿಟಿ 1.0	m ai k eu r ii eu r aa w i tx i 
ಅಧ್ಯಯನವು 1.0	a dh eu y y n w u 
ಅತ್ಯಂತ 1.0	a t eu y q t 
ಪ್ರಮುಖವಾಗಿದೆ 1.0	p eu r m u kh w aa g i d e 
ಕ್ಯಾಂಟನ 1.0	k eu y aa q tx n 
ಪ್ರಕಾರ 1.0	p eu r k aa r 
ಕಾಲ 1.0	k aa l 
ಅಂತರ್ಬೋಧೆಯ 1.0	a q t r eu b ii e y 
ಸ್ವಚ್ಛ 1.0	s eu w c eu ch 
ರೂಪಗಳು 1.0	r uu p g lx u 
ವ್ಯಾಪಾರದ 1.0	w eu y aa p aa r d 
ಮೊತ್ತ 1.0	m o t eu t 
ಇಳಿಮುಖವಾಯಿತಷ್ಟೇ 1.0	i lx i m u kh w aa y i t sx eu tx ee 
ವಿರೂಪವೂ 1.0	w i r uu p w uu 
ಆಯಿತು 1.0	aa y i t u 
ಅಂತಪಾಲರು 1.0	a q t p aa l r u 
ಕೌಟಿಲ್ಯನ 1.0	k au tx i l eu y n 
ಅರ್ಥಶಾಸ್ತ್ರದಲ್ಲಿ 1.0	a r eu th sh aa s eu t eu r d l eu l i 
ಉಲ್ಲೇಖಿತವಾಗಿರುವ 1.0	u l eu l ee kh i t w aa g i r u w 
ಆಡಳಿತಾಧಿಕಾರಿಗಳು 1.0	aa dx lx i t aa dh i k aa r i g lx u 
ಪಕ್ಕದ 1.0	p k eu k d 
ಸಣ್ಣ 1.0	s nx eu nx 
ಗುಡ್ಡಪ್ರದೇಶದಲ್ಲಿ 1.0	g u dx eu dx p eu r d ee sh d l eu l i 
ಹುಲ್ಲು 1.0	h u l eu l u 
ಬೆಳೆಯುತ್ತದೆ 1.0	b e lx e y u t eu t d e 
ವಾರ್ಷಿಕ 1.0	w aa r eu sx i k 
ಸರಾಸರಿ 1.0	s r aa s r i 
ಇಂಜಿನಿಯರಿಂಗ್‌ನಲ್ಲಿ 1.0	i q j i n i y r i q g eu n l eu l i 
ಪದವಿಪೂರ್ವ 1.0	p d w i p uu r eu w 
ಪಶ್ಚಿಮದಲ್ಲಿ 1.0	p sh eu c i m d l eu l i 
ಅರಬ್ಬಿ 1.0	a r b eu b i 
ಸಮುದ್ರ 1.0	s m u d eu r 
ಸೌಲಭ್ಯಕ್ಕಾಗಿ 1.0	s au l bh eu y k eu k aa g i 
ವರ್ಷಕ್ಕೆ 1.0	w r eu sx k eu k e 
ಒಮ್ಮೆ 1.0	o m eu m e 
ಗೊತ್ತುಪಡಿಸಿರುವ 1.0	g o t eu t u p dx i s i r u w 
ಶುಲ್ಕವನ್ನು 1.0	sh u l eu k w n eu n u 
ಅಂಚೆ 1.0	a q c e 
ಇಲಾಖೆಗೆ 1.0	i l aa kh e g e 
ಕೊಟ್ಟು 1.0	k o tx eu tx u 
ತಾವು 1.0	t aa w u 
ರವಾನಿಸುವ 1.0	r w aa n i s u w 
ಕಾಗದಪತ್ರಗಳ 1.0	k aa g d p t eu r g lx 
ತಮ್ಮದೇ 1.0	t m eu m d ee 
ಆದ 1.0	aa d 
ಮುದ್ರೆಯೊತ್ತಿ 1.0	m u d eu r e y o t eu t i 
ರವಾನಿಸುತ್ತಾರೆ 1.0	r w aa n i s u t eu t aa r e 
ವೀಕ್ಷಕರಿಗೆ 1.0	w ii k eu sx k r i g e 
ನೇರವಾದ 1.0	n ee r w aa d 
ಜೀವಂತಿಕೆಯ 1.0	j ii w q t i k e y 
ಬದಲಾವಣೆಗಳನ್ನು 1.0	b d l aa w nx e g lx n eu n u 
ಒದಗಿಸುತ್ತವೆ 1.0	o d g i s u t eu t w e 
ನಂಬಿಕೆಯು 1.0	n q b i k e y u 
ಪಾಶ್ಚಿಮಾತ್ಯ 1.0	p aa sh eu c i m aa t eu y 
ಪ್ರಬಲವಾಗಿ 1.0	p eu r b l w aa g i 
ಯೋಚನೆಯಾಗಿ 1.0	y ii n e y aa g i 
ಮಾರ್ಪಟ್ಟಿತ್ತು 1.0	m aa r eu p tx eu tx i t eu t u 
ಕಿಬ್ಬೊಟ್ಟೆಯ 1.0	k i b eu b o tx eu tx e y 
ಭಾಗದ 1.0	bh aa g d 
ಗೋಡೆಯಲ್ಲಿನ 1.0	g ii e y l eu l i n 
ದೋಷವೊಂದು 1.0	d ii w o q d u 
ಸೀಮಿತಗೊಳಿಸಲ್ಪಟ್ಟಿರುವ 1.0	s ii m i t g o lx i s l eu p tx eu tx i r u w 
ರಂಧ್ರ 1.0	r q dh eu r 
ಅಕ್ಷರಗಳನ್ನು 1.0	a k eu sx r g lx n eu n u 
ಸರಣಿಯ 1.0	s r nx i y 
ಅಂತ್ಯಕ್ಕೆ 1.0	a q t eu y k eu k e 
ಸರಿಸಿ 1.0	s r i s i 
ಪ್ರತಿನಿಧಿಗಳಲ್ಲಿ 1.0	p eu r t i n i dh i g lx l eu l i 
ಕ್ರಮಬದ್ಧ 1.0	k eu r m b d eu dh 
ವಿನಿಮಯ 1.0	w i n i m y 
ವ್ಯವಸ್ಥೆಯನ್ನು 1.0	w eu y w s eu th e y n eu n u 
ನಡೆಸಿಕೊಂಡು 1.0	n dx e s i k o q dx u 
ಹೋಗುವುದು 1.0	h ii u w u d u 
ವಿನಿಮಯದ 1.0	w i n i m y d 
ಏರಿಳಿತದ 1.0	ee r i lx i t d 
ಸ್ಪರ್ಧೆಯನ್ನು 1.0	s eu p r eu dh e y n eu n u 
ಇವುಗಳ 1.0	i w u g lx 
ಅಧ್ಯಯನಕ್ಕೆ 1.0	a dh eu y y n k eu k e 
ಪ್ರಭಾವಶಾಲಿಯಾದ 1.0	p eu r bh aa w sh aa l i y aa d 
ಏಕೈಕ 1.0	ee k ai k 
ವಿಧಾನವೆಂದರೆ 1.0	w i dh aa n w e q d r e 
ಅಂತರವಲೋಕನವೆಂದು 1.0	a q t r w l ii n w e q d u 
ಆತನ 1.0	aa t n 
ವಾದ 1.0	w aa d 
ಅಂತಃಸ್ರಾವಕ 1.0	a q t hq s eu r aa w k 
ವಿಶ್ಲೇಷಣಾತ್ಮಕ 1.0	w i sh eu l ee sx nx aa t eu m k 
ಚಿತ್ರಿಸುವಿಕೆಯು 1.0	c i t eu r i s u w i k e y u 
ಇನ್ಸಿಡೆಂಟಾಲೋಮಾಗಳೆಂದು 1.0	i n eu s i dx e q tx aa l ii aa g lx e q d u 
ಕರೆಯಲಾಗುವ 1.0	k r e y l aa g u w 
ಸಂಭವನೀಯ 1.0	s q bh w n ii y 
ಆವಿಷ್ಕಾರಗಳನ್ನು 1.0	aa w i sx eu k aa r g lx n eu n u 
ಬಹಿರಂಗಪಡಿಸಬಹುದಾಗಿದೆ 1.0	b h i r q g p dx i s b h u d aa g i d e 
ಅತ್ಯುತ್ತಮ 1.0	a t eu y u t eu t m 
ಪ್ರದರ್ಶನವೆಂದು 1.0	p eu r d r eu sh n w e q d u 
ಭಾವಿಸುತ್ತಾರೆ 1.0	bh aa w i s u t eu t aa r e 
ಘಂಟೆಯ 1.0	gh q tx e y 
ಊಟದ 1.0	uu tx d 
ವಿರಾಮದ 1.0	w i r aa m d 
ಮಧ್ಯಾಹ್ನ 1.0	m dh eu y aa h eu n 
ಕೆಲಸಗಳನ್ನು 1.0	k e l s g lx n eu n u 
ವ್ಯಾಯಾಮಗಳನ್ನು 1.0	w eu y aa y aa m g lx n eu n u 
ಅಂಕಿ 1.0	a q k i 
ವಿಷಯವು 1.0	w i sx y w u 
ಸಾಂಸ್ಕೃತಿಕ 1.0	s aa q s eu k rq t i k 
ತಳಹದಿಯನ್ನು 1.0	t lx h d i y n eu n u 
ನೌಕರರ 1.0	n au k r r 
ನಿವೃತ್ತಿ 1.0	n i w rq t eu t i 
ಯೋಜನೆಗಳು 1.0	y ii n e g lx u 
ಆಮದುಮಾಡಿಕೊಳ್ಳುವ 1.0	aa m d u m aa dx i k o lx eu lx u w 
ವ್ಯಾಪಾರೀಯ 1.0	w eu y aa p aa r ii y 
ಮಧ್ಯವರ್ತಿ 1.0	m dh eu y w r eu t i 
ಸರಕುಗಳನ್ನು 1.0	s r k u g lx n eu n u 
ಒಳಹರಿವು 1.0	o lx h r i w u 
ಉತ್ಪಾದನೆಯನ್ನಾಗಿ 1.0	u t eu p aa d n e y n eu n aa g i 
ಬಳಸಿಕೊಳ್ಳಲಾಗುತ್ತದೆ 1.0	b lx s i k o lx eu lx l aa g u t eu t d e 
ವರ್ಷದ 1.0	w r eu sx d 
ಲೂಧಿಯಾನ 1.0	l uu dh i y aa n 
ಕ್ರೀಡಾಕೂಟದಲ್ಲಿ 1.0	k eu r ii dx aa k uu tx d l eu l i 
ನಡೆದ 1.0	n dx e d 
ಲಾಂಗ್ 1.0	l aa q g eu 
ಜಂಪ್ 1.0	j q p eu 
ಟ್ರಿಪಲ್ 1.0	tx eu r i p l eu 
ಕ್ರೀಡೆಗಳಲ್ಲಿ 1.0	k eu r ii dx e g lx l eu l i 
ಚಿನ್ನದ 1.0	c i n eu n d 
ಪದಕವನ್ನೂ 1.0	p d k w n eu n uu 
ಗೆದ್ದುಕೊಂಡರು 1.0	g e d eu d u k o q dx r u 
ಸಮುದ್ರಮಟ್ಟದ 1.0	s m u d eu r m tx eu tx d 
ಗುರುತ್ವಕ್ಕೆ 1.0	g u r u t eu w k eu k e 
ಸಮನಾಗಿದೆ 1.0	s m n aa g i d e 
ವಾಯುವಿನ 1.0	w aa y u w i n 
ರಥ 1.0	r th 
ಗುಡುಗಿನಂತೆ 1.0	g u dx u g i n q t e 
ಶಬ್ದ 1.0	sh b eu d 
ಹೆಚ್ಚುಕಾಲ 1.0	h e c eu c u k aa l 
ಬಳಸಿದರೆ 1.0	b lx s i d r e 
ಆಹಾರದ 1.0	aa h aa r d 
ಕೊರತೆಯಿಂದ 1.0	k o r t e y i q d 
ರಕ್ತಹೀನತೆಯುಂಟಾಗುವುದನ್ನು 1.0	r k eu t h ii n t e y u q tx aa g u w u d n eu n u 
ತಪ್ಪಿಸುತ್ತದೆ 1.0	t p eu p i s u t eu t d e 
ಆಕ್ರಮಣ 1.0	aa k eu r m nx 
ಮುಂದುವರಿಯಿತು 1.0	m u q d u w r i y i t u 
ಪರಿವರ್ತನೆ 1.0	p r i w r eu t n e 
ಕ್ರಿಯೆಗೆ 1.0	k eu r i y e g e 
ಸೂರ್ಯನಿಂದ 1.0	s uu r eu y n i q d 
ಉದಾಹರಣೆಯಾಗಿದೆ 1.0	u d aa h r nx e y aa g i d e 
ಪ್ರಜ್ಞಾತ್ಮಕ 1.0	p eu r j eu nj aa t eu m k 
ಪ್ರಕ್ತಿಯೆಗಳು 1.0	p eu r k eu t i y e g lx u 
ಅಸ್ಥಿರವಾದುವುಗಳು 1.0	a s eu th i r w aa d u w u g lx u 
ಆರ್ಥಿಕಾಭಿವೃದ್ಧಿ 1.0	aa r eu th i k aa bh i w rq d eu dh i 
ವಾಣಿಜ್ಯಗಳನ್ನು 1.0	w aa nx i j eu y g lx n eu n u 
ಅವಲಂಬಿಸಿದ್ದುದರಿಂದ 1.0	a w l q b i s i d eu d u d r i q d 
ಕೌಟಿಲ್ಯನು 1.0	k au tx i l eu y n u 
ಪಾಶ್ಚಾತ್ಯ 1.0	p aa sh eu c aa t eu y 
ವಾಣಿಜ್ಯೋದ್ಯಮಗಳನ್ನು 1.0	w aa nx i j eu y ii eu y m g lx n eu n u 
ನೆಲೆಸುವಂತೆ 1.0	n e l e s u w q t e 
ಪ್ರೋತ್ಸಾಹಿಸುತ್ತಿದ್ದನು 1.0	p eu r ii eu s aa h i s u t eu t i d eu d n u 
ಪ್ರತಿಕ್ರಿಯೆಗಾಗಿ 1.0	p eu r t i k eu r i y e g aa g i 
ಕಾಯಬೇಕಿಲ್ಲ 1.0	k aa y b ee k i l eu l 
ಟಿಮ್ 1.0	tx i m eu 
ಬರ್ನರ್ಸ್ 1.0	b r eu n r eu s eu 
ಲೀ 1.0	l ii 
